record_no,syszone,use_type,inst_date,material,joint,joint_type,cathodic,diameter,length_ft
1,573002,dist,1920-5-1,CI,Caulked,rigid,Y,10.000000000000000,805.152706366550000
2,576301,trunk,1966-12-1,STL,Gas welded,brittle,,36.000000000000000,2424.324307643740000
3,574902,dist,1947-4-1,DI,Rubber Gasket,flexible,,2.000000000000000,268.266752710772000
4,980018,dist,1967-3-1,CI,Caulked,rigid,,1.000000000000000,195.685574328053000
5,573403,dist,1997-10-1,STL,Gas welded,brittle,,12.000000000000000,781.664632203134000
6,576903,dist,1940-7-1,CI,Caulked,rigid,Y,3.000000000000000,2012.416568463030000
7,577000,dist,1922-8-1,CI,,,Y,20.000000000000000,3223.619288305920000
8,574902,dist,1944-12-1,CI,Caulked,rigid,,14.000000000000000,148.990222861464000
9,573601,dist,1930-7-1,CI,Caulked,rigid,Y,12.000000000000000,810.800834199338000
10,577602,dist,1933-9-1,CI,Caulked,rigid,Y,5.000000000000000,280.253044750142000
11,574902,trunk,1997-12-1,CONC,Rubber Gasket,robust,,64.000000000000000,137.195207303168000
12,571900,trunk,1966-9-1,STL,Arc-welded,robust,,27.000000000000000,2200.394492076990000
13,551801,trunk,1948-8-1,STL,Gas welded,brittle,Y,66.000000000000000,101.249718874250000
14,570305,dist,1957-3-1,CI,,,Y,20.000000000000000,242.303953960796000
15,543903,dist,1922-10-1,STL,Arc-welded,robust,Y,6.000000000000000,101.207618996587000
16,980002,dist,1958-5-1,CI,,,,9.000000000000000,1123.544914765500000
17,570502,dist,1920-11-1,DI,,,,4.000000000000000,3450.804767124550000
18,552301,dist,1920-1-1,CI,Caulked,rigid,Y,1.000000000000000,185.393475337524000
19,574400,dist,1945-12-1,CI,Caulked,rigid,,1.000000000000000,184.349523269554000
20,551802,dist,1994-1-1,CI,Caulked,rigid,,1.000000000000000,326.076161018882000
21,543305,dist,1940-6-1,CI,Caulked,rigid,Y,7.000000000000000,44.067037167638000
22,575401,dist,1959-12-1,DI,,,,7.000000000000000,183.221066393887000
23,543100,dist,1967-4-1,AC,B&S,rigid,,5.000000000000000,416.644312473526000
24,543305,dist,1947-9-1,CI,Rubber Gasket,flexible,,12.000000000000000,42.361641275581100
25,570305,dist,1942-7-1,CI,Caulked,rigid,Y,4.000000000000000,63.898911698517900
27,570305,dist,1925-5-1,CI,,,Y,6.000000000000000,128.437474032228000
28,543203,dist,1941-8-1,DI,EQ joint,robust,,20.000000000000000,73.624910166746000
29,541200,dist,1947-12-1,CI,Rubber Gasket,flexible,Y,13.000000000000000,140.968105555448000
30,570403,dist,1968-11-1,STL,Arc-welded,robust,Y,13.000000000000000,25.003135266890200
31,542402,dist,1941-12-1,CI,Caulked,rigid,,10.000000000000000,773.646876327498000
32,553504,dist,1997-1-1,STL,Arc-welded,robust,,7.000000000000000,90.466213101700800
33,553601,dist,1972-3-1,STL,Gas welded,brittle,,21.000000000000000,62.481551434772300
34,540501,dist,1926-1-1,CI,Caulked,rigid,,16.000000000000000,95.857772935902400
37,543321,dist,1947-7-1,AC,,,,3.000000000000000,735.202530254488000
38,575002,dist,1950-2-1,HDPE,Fused,robust,,21.000000000000000,100.810548474225000
39,577602,dist,1981-12-1,CI,,,,5.000000000000000,229.881048736924000
40,554522,dist,1970-4-1,CI,,,,11.000000000000000,53.405560246364700
41,572500,dist,1986-10-1,CI,Caulked,rigid,,16.000000000000000,105.908108165964000
43,553100,dist,1921-11-1,CI,,,Y,6.000000000000000,597.642641434027000
44,573403,dist,1965-11-1,CI,Caulked,rigid,Y,1.000000000000000,223.061366233293000
45,577900,dist,1939-7-1,CI,Caulked,rigid,,21.000000000000000,109.256453959682000
46,540300,dist,1906-10-1,DI,Rubber Gasket,flexible,,6.000000000000000,101.522453039499000
47,555300,dist,1968-7-1,CI,Caulked,rigid,Y,6.000000000000000,168.447194972671000
48,571202,dist,1926-4-1,CI,Caulked,rigid,,2.000000000000000,1172.659450869910000
49,541604,dist,1974-3-1,STL,Arc-welded,robust,,14.000000000000000,641.200115963767000
50,542000,dist,1986-4-1,STL,Arc-welded,robust,,1.000000000000000,392.598006163172000
51,542401,dist,1911-4-1,CI,,,,1.000000000000000,75.173129352446100
52,570306,dist,1917-10-1,CI,Caulked,rigid,Y,18.000000000000000,499.531383126443000
54,573201,dist,1952-10-1,CI,Rubber Gasket,flexible,,3.000000000000000,1002.307756475920000
55,570304,dist,1929-12-1,CI,,,,11.000000000000000,1657.276533194700000
56,575300,dist,1948-5-1,STL,,,,7.000000000000000,502.555887167545000
57,554600,dist,1940-1-1,CI,Caulked,rigid,Y,5.000000000000000,198.639156613569000
58,554521,dist,1978-1-1,STL,,,,3.000000000000000,303.163419725912000
59,554521,dist,1940-9-1,CI,Caulked,rigid,,12.000000000000000,332.547984431292000
60,554522,dist,1961-7-1,CI,Caulked,rigid,,12.000000000000000,262.415410925585000
61,554522,dist,1999-8-1,STL,Arc-welded,robust,,10.000000000000000,589.582068369102000
62,574000,dist,2006-4-1,CI,Caulked,rigid,,4.000000000000000,465.124873329035000
63,573700,dist,1943-3-1,DI,,,,11.000000000000000,521.878099792554000
64,571101,dist,1973-9-1,AC,B&S,rigid,,12.000000000000000,1651.063232889700000
65,573700,dist,1952-1-1,CI,Caulked,rigid,,18.000000000000000,586.309378732459000
66,574300,dist,1946-12-1,CI,Caulked,rigid,Y,10.000000000000000,184.291840292217000
67,574300,dist,1906-8-1,CI,,,Y,9.000000000000000,404.470374415230000
68,543201,dist,1942-9-1,CI,Caulked,rigid,Y,6.000000000000000,794.466386401812000
69,541603,dist,1929-8-1,CI,Caulked,rigid,Y,3.000000000000000,511.136511441791000
70,540501,dist,1903-1-1,CI,Caulked,rigid,,12.000000000000000,1266.566773297160000
71,540501,dist,1971-6-1,CI,Caulked,rigid,Y,4.000000000000000,152.139495796325000
72,570303,dist,1939-12-1,CI,,,,7.000000000000000,256.286631129728000
73,572202,dist,1935-11-1,AC,,,,12.000000000000000,2575.134349746470000
74,577900,dist,1950-11-1,DI,EQ joint,robust,,8.000000000000000,193.483705062685000
75,571800,dist,1989-7-1,CI,Caulked,rigid,,23.000000000000000,1228.858589528090000
76,575401,dist,1973-12-1,DI,EQ joint,robust,,7.000000000000000,2012.789378249760000
78,541802,dist,1962-9-1,DI,EQ joint,robust,,9.000000000000000,193.919063962612000
79,980002,trunk,1972-7-1,CONC,,,,67.000000000000000,340.387975351363000
80,542800,dist,1915-3-1,CI,Caulked,rigid,,15.000000000000000,300.301344846126000
81,574400,dist,2002-7-1,CI,,,,8.000000000000000,127.007561899846000
82,573300,dist,1961-6-1,CI,Caulked,rigid,Y,3.000000000000000,77.250300950226400
83,542602,dist,1895-1-1,STL,Arc-welded,robust,,8.000000000000000,137.579017643430000
84,553801,dist,1929-3-1,CI,Caulked,rigid,Y,8.000000000000000,1424.105300634940000
87,573601,dist,1935-12-1,AC,,,,5.000000000000000,354.584258071612000
