id,uid,zone,use_type,installed,material,joint,lining,diameter,d_cat,length_m
1,832f91bd-f6f5-11ec-94b5-54bf6483bcd3,074403,dist,1953,Ductile Iron,,CL,2.000000000000000,S,3953.115831596660000
2,83307c1f-f6f5-11ec-81d5-54bf6483bcd3,074403,trunk,1986,Steel,,,42.000000000000000,L,459.605542290024000
3,83320548-f6f5-11ec-ba8b-54bf6483bcd3,074200,trunk,1964,Ductile Iron,,CL,71.000000000000000,L,23459.752546590000000
4,83331582-f6f5-11ec-a106-54bf6483bcd3,074702,trunk,1971,Concrete,,,35.000000000000000,L,3320.043944076770000
5,83369e63-f6f5-11ec-b48f-54bf6483bcd3,075516,trunk,1974,Concrete,,,43.000000000000000,L,247.701858506856000
6,833aadc7-f6f5-11ec-8994-54bf6483bcd3,074408,dist,1977,Ductile Iron,,CL,6.000000000000000,S,159.619885231377000
7,833dc2fd-f6f5-11ec-b06d-54bf6483bcd3,062648,dist,1950,Ductile Iron,,CL,12.000000000000000,S,993.974860195203000
8,833e7178-f6f5-11ec-bd82-54bf6483bcd3,075517,dist,1954,Ductile Iron,,CL,10.000000000000000,S,108.684235837411000
9,8340ae72-f6f5-11ec-b03e-54bf6483bcd3,052513,dist,1968,Cast Iron,,,6.000000000000000,S,263.574215619929000
10,83414ab4-f6f5-11ec-8def-54bf6483bcd3,075518,dist,1983,Steel,WJ,,13.000000000000000,M,354.836416730008000
11,8341bfe1-f6f5-11ec-84dd-54bf6483bcd3,062610,dist,1961,Ductile Iron,,CL,6.000000000000000,S,256.002235149994000
12,83431a40-f6f5-11ec-9fde-54bf6483bcd3,063910,dist,1957,Ductile Iron,RG,CL,14.000000000000000,M,126.301091467863000
13,8343b666-f6f5-11ec-a025-54bf6483bcd3,074003,dist,1965,Ductile Iron,RG,CL,9.000000000000000,S,340.936737706248000
14,83442b8c-f6f5-11ec-866b-54bf6483bcd3,052502,dist,1983,Steel,,CL,17.000000000000000,M,26.379338811665700
15,8344a0c0-f6f5-11ec-94b9-54bf6483bcd3,062649,dist,2002,Ductile Iron,,CL,5.000000000000000,S,146.069007969803000
16,83456f54-f6f5-11ec-ab78-54bf6483bcd3,052518,trunk,1991,Steel,WJ,CL,36.000000000000000,L,814.798502289835000
17,83460b8c-f6f5-11ec-a9b0-54bf6483bcd3,075518,dist,1982,Ductile Iron,RG,CL,8.000000000000000,S,227.414473507648000
18,834680af-f6f5-11ec-b8b3-54bf6483bcd3,062610,dist,1958,Steel,,,10.000000000000000,S,224.039015083966000
19,8347473c-f6f5-11ec-b907-54bf6483bcd3,062650,dist,1977,Ductile Iron,,CL,2.000000000000000,S,1330.596115909500000
20,8347df41-f6f5-11ec-a39b-54bf6483bcd3,052524,dist,1962,Ductile Iron,RG,CL,9.000000000000000,S,122.111536680676000
21,8348ef7d-f6f5-11ec-a9e8-54bf6483bcd3,074106,dist,1982,Cast Iron,CJ,CL,18.000000000000000,M,1425.038095172030000
22,8349b3ff-f6f5-11ec-b85b-54bf6483bcd3,074106,dist,1967,Cast Iron,CJ,,4.000000000000000,S,406.863564389533000
23,834a503b-f6f5-11ec-8904-54bf6483bcd3,074106,dist,2000,Cast Iron,,,2.000000000000000,S,919.129661941287000
24,834ac58b-f6f5-11ec-9658-54bf6483bcd3,074106,dist,2004,Ductile Iron,,CL,7.000000000000000,S,1523.537910335210000
25,834b8f00-f6f5-11ec-abe3-54bf6483bcd3,075504,dist,1990,Steel,WJ,CL,14.000000000000000,M,323.206950567778000
26,834c0430-f6f5-11ec-bbb5-54bf6483bcd3,062652,dist,1971,Ductile Iron,,CL,11.000000000000000,S,201.108658375273000
27,834cf514-f6f5-11ec-aae1-54bf6483bcd3,062614,dist,1961,Ductile Iron,,CL,8.000000000000000,S,984.487445352008000
28,834d914b-f6f5-11ec-b74f-54bf6483bcd3,075504,dist,1951,Cast Iron,,,11.000000000000000,S,1078.862606771190000
29,834ec8ac-f6f5-11ec-802d-54bf6483bcd3,063009,dist,1967,Ductile Iron,,CL,3.000000000000000,S,967.450952467982000
30,834f3f06-f6f5-11ec-b968-54bf6483bcd3,074003,dist,1963,Steel,,,10.000000000000000,S,545.944862232200000
31,8350295b-f6f5-11ec-ad24-54bf6483bcd3,075606,dist,1982,Cast Iron,,CL,3.000000000000000,S,1180.554071615050000
32,83509e88-f6f5-11ec-b47a-54bf6483bcd3,075518,dist,1968,Ductile Iron,,CL,5.000000000000000,S,1237.417496226350000
33,83513af9-f6f5-11ec-9d8f-54bf6483bcd3,075403,dist,1959,Steel,WJ,CL,5.000000000000000,S,320.529271230563000
34,8351d72a-f6f5-11ec-923f-54bf6483bcd3,074106,dist,1988,Cast Iron,CJ,,7.000000000000000,S,1840.029828036220000
35,83524c3e-f6f5-11ec-8423-54bf6483bcd3,074106,dist,1965,Ductile Iron,RG,CL,6.000000000000000,S,626.962358072046000
36,8352e88e-f6f5-11ec-a86b-54bf6483bcd3,074106,dist,1982,Copper,,,12.000000000000000,S,766.491055841420000
37,83535db1-f6f5-11ec-a200-54bf6483bcd3,074403,dist,1952,Ductile Iron,RG,CL,6.000000000000000,S,1737.690715139680000
38,8353fa0e-f6f5-11ec-98e9-54bf6483bcd3,052522,dist,1991,Cast Iron,RG,CL,2.000000000000000,S,151.438679093908000
39,83546f1f-f6f5-11ec-8942-54bf6483bcd3,063007,dist,1949,Ductile Iron,,CL,13.000000000000000,M,134.248471647388000
40,8354e44b-f6f5-11ec-8b81-54bf6483bcd3,074403,dist,1980,Steel,,CL,14.000000000000000,M,2423.700291154840000
41,83558095-f6f5-11ec-b20a-54bf6483bcd3,074403,dist,1996,Ductile Iron,,CL,6.000000000000000,S,708.051864364506000
42,8355f5bf-f6f5-11ec-b688-54bf6483bcd3,074403,dist,1970,Ductile Iron,,CL,4.000000000000000,S,681.822403316690000
43,835691ff-f6f5-11ec-8c52-54bf6483bcd3,074403,dist,1965,Steel,VICT,CL,2.000000000000000,S,1700.853755356470000
44,83570735-f6f5-11ec-b74b-54bf6483bcd3,052523,dist,1928,Steel,,CL,1.000000000000000,S,160.157629641353000
45,8357a372-f6f5-11ec-bca2-54bf6483bcd3,063910,dist,1954,Ductile Iron,,CL,10.000000000000000,S,138.858282987144000
46,835818d9-f6f5-11ec-bf84-54bf6483bcd3,075607,dist,1960,Steel,,CL,1.000000000000000,S,259.373689691794000
47,8358b4e4-f6f5-11ec-9c2c-54bf6483bcd3,074106,dist,1926,Cast Iron,CJ,CL,11.000000000000000,S,724.389477870671000
48,83592a2d-f6f5-11ec-a4bd-54bf6483bcd3,074403,dist,1971,Cast Iron,,,5.000000000000000,S,1271.029071452540000
49,8359c652-f6f5-11ec-9c20-54bf6483bcd3,074403,dist,1962,Steel,WJ,,4.000000000000000,S,1052.473099988210000
50,835a3b92-f6f5-11ec-a321-54bf6483bcd3,074403,dist,1971,Ductile Iron,,CL,10.000000000000000,S,622.006266831233000
51,835ad693-f6f5-11ec-a3ff-54bf6483bcd3,074403,dist,2001,Ductile Iron,,CL,5.000000000000000,S,273.764597096805000
52,835b72cf-f6f5-11ec-82ea-54bf6483bcd3,074403,dist,1985,High Density Polyethylene,,,20.000000000000000,M,279.941155395635000
53,835be804-f6f5-11ec-92a3-54bf6483bcd3,075403,dist,1987,Steel,,,23.000000000000000,M,2731.818203166080000
54,835c5d35-f6f5-11ec-a13c-54bf6483bcd3,075607,dist,1944,Cast Iron,,,9.000000000000000,S,1989.557776389580000
55,835cd25d-f6f5-11ec-8920-54bf6483bcd3,063007,dist,2008,Ductile Iron,RG,CL,9.000000000000000,S,643.959973392628000
56,835d6ea1-f6f5-11ec-bce3-54bf6483bcd3,074403,dist,1995,Cast Iron,CJ,,7.000000000000000,S,272.185847995574000
57,835de3c9-f6f5-11ec-afe8-54bf6483bcd3,075403,dist,1976,Ductile Iron,RG,CL,4.000000000000000,S,322.731125113676000
58,835e8015-f6f5-11ec-b830-54bf6483bcd3,052513,dist,2006,Cast Iron,,CL,7.000000000000000,S,326.812394489554000
59,835ef541-f6f5-11ec-b26e-54bf6483bcd3,052524,dist,1995,Steel,,CL,21.000000000000000,M,1037.146894204740000
60,835f6a73-f6f5-11ec-9b9d-54bf6483bcd3,074407,dist,1975,Cast Iron,CJ,CL,10.000000000000000,S,867.818765934850000
61,836007d8-f6f5-11ec-93ec-54bf6483bcd3,075518,dist,1996,Cast Iron,,CL,3.000000000000000,S,357.886409360557000
62,83607d0d-f6f5-11ec-b5eb-54bf6483bcd3,075506,dist,1959,Cast Iron,,,8.000000000000000,S,279.531042850422000
63,8360f236-f6f5-11ec-bc86-54bf6483bcd3,075506,dist,1949,Ductile Iron,,CL,2.000000000000000,S,912.424988690498000
64,8361663b-f6f5-11ec-b239-54bf6483bcd3,075506,dist,1988,High Density Polyethylene,,,20.000000000000000,M,88.544511042065600
65,836203a0-f6f5-11ec-b40c-54bf6483bcd3,052520,dist,1989,Ductile Iron,,CL,7.000000000000000,S,224.464758338284000
66,836278d5-f6f5-11ec-896b-54bf6483bcd3,052513,dist,1957,Cast Iron,,CL,22.000000000000000,M,357.595260040927000
67,8362ee16-f6f5-11ec-9ce8-54bf6483bcd3,052520,dist,1959,Cast Iron,,,12.000000000000000,S,235.306527712871000
