record_no,syszone,use_type,inst_date,material,joint,joint_type,cathodic,diameter,length_ft
1,573002,dist,5/1/1920,CI,Caulked,rigid,Y,10,805.1527064
2,576301,trunk,12/1/1966,STL,Gas welded,brittle,,36,2424.324308
3,574902,dist,4/1/1947,DI,Rubber Gasket,flexible,,2,268.2667527
4,980018,dist,3/1/1967,CI,Caulked,rigid,,1,195.6855743
5,573403,dist,10/1/1997,STL,Gas welded,brittle,,12,781.6646322
6,576903,dist,7/1/1940,CI,Caulked,rigid,Y,3,2012.416568
7,577000,dist,8/1/1922,CI,,,Y,20,3223.619288
8,574902,dist,12/1/1944,CI,Caulked,rigid,,14,148.9902229
9,573601,dist,7/1/1930,CI,Caulked,rigid,Y,12,810.8008342
10,577602,dist,9/1/1933,CI,Caulked,rigid,Y,5,280.2530448
11,574902,trunk,12/1/1997,CONC,Rubber Gasket,robust,,64,137.1952073
12,571900,trunk,9/1/1966,STL,Arc-welded,robust,,27,2200.394492
13,551801,trunk,8/1/1948,STL,Gas welded,brittle,Y,66,101.2497189
14,570305,dist,3/1/1957,CI,,,Y,20,242.303954
15,543903,dist,10/1/1922,STL,Arc-welded,robust,Y,6,101.207619
16,980002,dist,5/1/1958,CI,,,,9,1123.544915
17,570502,dist,11/1/1920,DI,,,,4,3450.804767
18,552301,dist,1/1/1920,CI,Caulked,rigid,Y,1,185.3934753
19,574400,dist,12/1/1945,CI,Caulked,rigid,,1,184.3495233
20,551802,dist,1/1/1994,CI,Caulked,rigid,,1,326.076161
21,543305,dist,6/1/1940,CI,Caulked,rigid,Y,7,44.06703717
22,575401,dist,12/1/1959,DI,,,,7,183.2210664
23,543100,dist,4/1/1967,AC,B&S,rigid,,5,416.6443125
24,543305,dist,9/1/1947,CI,Rubber Gasket,flexible,,12,42.36164128
25,570305,dist,7/1/1942,CI,Caulked,rigid,Y,4,63.8989117
27,570305,dist,5/1/1925,CI,,,Y,6,128.437474
28,543203,dist,8/1/1941,DI,EQ joint,robust,,20,73.62491017
29,541200,dist,12/1/1947,CI,Rubber Gasket,flexible,Y,13,140.9681056
30,570403,dist,11/1/1968,STL,Arc-welded,robust,Y,13,25.00313527
31,542402,dist,12/1/1941,CI,Caulked,rigid,,10,773.6468763
32,553504,dist,1/1/1997,STL,Arc-welded,robust,,7,90.4662131
33,553601,dist,3/1/1972,STL,Gas welded,brittle,,21,62.48155143
34,540501,dist,1/1/1926,CI,Caulked,rigid,,16,95.85777294
37,543321,dist,7/1/1947,AC,,,,3,735.2025303
38,575002,dist,2/1/1950,HDPE,Fused,robust,,21,100.8105485
39,577602,dist,12/1/1981,CI,,,,5,229.8810487
40,554522,dist,4/1/1970,CI,,,,11,53.40556025
41,572500,dist,10/1/1986,CI,Caulked,rigid,,16,105.9081082
43,553100,dist,11/1/1921,CI,,,Y,6,597.6426414
44,573403,dist,11/1/1965,CI,Caulked,rigid,Y,1,223.0613662
45,577900,dist,7/1/1939,CI,Caulked,rigid,,21,109.256454
46,540300,dist,10/1/1906,DI,Rubber Gasket,flexible,,6,101.522453
47,555300,dist,7/1/1968,CI,Caulked,rigid,Y,6,168.447195
48,571202,dist,4/1/1926,CI,Caulked,rigid,,2,1172.659451
49,541604,dist,3/1/1974,STL,Arc-welded,robust,,14,641.200116
50,542000,dist,4/1/1986,STL,Arc-welded,robust,,1,392.5980062
51,542401,dist,4/1/1911,CI,,,,1,75.17312935
52,570306,dist,10/1/1917,CI,Caulked,rigid,Y,18,499.5313831
54,573201,dist,10/1/1952,CI,Rubber Gasket,flexible,,3,1002.307756
55,570304,dist,12/1/1929,CI,,,,11,1657.276533
56,575300,dist,5/1/1948,STL,,,,7,502.5558872
57,554600,dist,1/1/1940,CI,Caulked,rigid,Y,5,198.6391566
58,554521,dist,1/1/1978,STL,,,,3,303.1634197
59,554521,dist,9/1/1940,CI,Caulked,rigid,,12,332.5479844
60,554522,dist,7/1/1961,CI,Caulked,rigid,,12,262.4154109
61,554522,dist,8/1/1999,STL,Arc-welded,robust,,10,589.5820684
62,574000,dist,4/1/2006,CI,Caulked,rigid,,4,465.1248733
63,573700,dist,3/1/1943,DI,,,,11,521.8780998
64,571101,dist,9/1/1973,AC,B&S,rigid,,12,1651.063233
65,573700,dist,1/1/1952,CI,Caulked,rigid,,18,586.3093787
66,574300,dist,12/1/1946,CI,Caulked,rigid,Y,10,184.2918403
67,574300,dist,8/1/1906,CI,,,Y,9,404.4703744
68,543201,dist,9/1/1942,CI,Caulked,rigid,Y,6,794.4663864
69,541603,dist,8/1/1929,CI,Caulked,rigid,Y,3,511.1365114
70,540501,dist,1/1/1903,CI,Caulked,rigid,,12,1266.566773
71,540501,dist,6/1/1971,CI,Caulked,rigid,Y,4,152.1394958
72,570303,dist,12/1/1939,CI,,,,7,256.2866311
73,572202,dist,11/1/1935,AC,,,,12,2575.13435
74,577900,dist,11/1/1950,DI,EQ joint,robust,,8,193.4837051
75,571800,dist,7/1/1989,CI,Caulked,rigid,,23,1228.85859
76,575401,dist,12/1/1973,DI,EQ joint,robust,,7,2012.789378
78,541802,dist,9/1/1962,DI,EQ joint,robust,,9,193.919064
79,980002,trunk,7/1/1972,CONC,,,,67,340.3879754
80,542800,dist,3/1/1915,CI,Caulked,rigid,,15,300.3013448
81,574400,dist,7/1/2002,CI,,,,8,127.0075619
82,573300,dist,6/1/1961,CI,Caulked,rigid,Y,3,77.25030095
83,542602,dist,1895-1-1,STL,Arc-welded,robust,,8,137.5790176
84,553801,dist,3/1/1929,CI,Caulked,rigid,Y,8,1424.105301
87,573601,dist,12/1/1935,AC,,,,5,354.5842581
88,573800,dist,1/1/1942,CI,Caulked,rigid,Y,2,147.0047269
89,573700,dist,1/1/1947,STL,Arc-welded,robust,Y,18,379.4283209
90,573601,dist,11/1/1936,CI,Caulked,rigid,Y,2,305.6422749
91,573601,dist,3/1/1967,CI,Caulked,rigid,Y,11,98.9357254
92,570203,dist,2/1/1988,AC,B&S,rigid,,18,101.158254
93,554514,dist,8/1/1954,AC,,,,10,381.3205286
95,554801,dist,1/1/1960,CI,Caulked,rigid,Y,6,258.706085
96,543304,dist,8/1/1934,CI,Caulked,rigid,,17,790.1981395
97,543322,dist,1/1/1954,CI,Caulked,rigid,,6,361.3586336
98,543322,dist,9/1/1961,DI,EQ joint,robust,,10,221.5220922
99,543304,dist,5/1/1926,CI,,,,2,838.34241
100,554802,dist,6/1/1959,STL,Gas welded,brittle,Y,19,204.2641004
101,551700,dist,3/1/1920,AC,B&S,rigid,,12,559.1174791
102,110117,dist,6/1/1994,AC,B&S,rigid,,12,76.02473157
103,110117,dist,4/1/1962,CI,,,,12,65.61969957
104,551203,dist,10/1/1932,CI,Caulked,rigid,Y,1,171.7958315
105,551201,dist,7/1/1934,CI,Rubber Gasket,flexible,,4,83.60101296
106,551203,dist,6/1/1961,CI,Caulked,rigid,,1,211.7147069
107,554513,dist,6/1/1933,STL,Arc-welded,robust,Y,6,74.1026727
108,574500,dist,2/1/1903,CI,Caulked,rigid,Y,2,119.7630359
109,554515,dist,12/1/1944,CI,,,Y,9,266.5413114
111,571201,dist,9/1/1949,STL,,,,5,276.5670442
112,543306,dist,11/1/1932,CI,,,,12,132.5612113
114,554406,dist,6/1/1955,AC,,,,11,177.3051432
115,554521,dist,2/1/1956,AC,B&S,rigid,,2,225.7620672
116,551801,dist,1/1/1977,DI,EQ joint,robust,,22,146.4113704
117,551801,dist,7/1/1952,CI,Caulked,rigid,,9,116.1895736
118,540203,dist,11/1/1938,DI,EQ joint,robust,,4,428.5364686
120,542700,trunk,4/1/1970,DI,,,,37,1046.545789
121,554515,dist,6/1/1967,CI,,,,3,78.50825081
122,554406,dist,9/1/1961,CI,Caulked,rigid,Y,21,118.3390406
123,575102,dist,9/1/1942,CI,Caulked,rigid,Y,21,96.86463139
124,573402,dist,8/1/1942,CI,Caulked,rigid,Y,9,402.5021781
125,570502,dist,2/1/1978,CI,Caulked,rigid,,11,317.7520785
126,575102,dist,7/1/1993,CI,Caulked,rigid,,4,203.2006815
127,573402,dist,5/1/1988,CI,,,,12,395.5693361
128,552800,dist,9/1/1957,DI,EQ joint,robust,,9,456.6101009
129,552800,dist,11/1/2019,CI,,,,8,176.7911385
130,554106,dist,2/1/1948,CI,,,,8,537.2634225
131,553000,dist,10/1/1948,DI,,,,14,146.5701432
132,553000,dist,10/1/1977,CI,Caulked,rigid,,6,403.7986209
