id,uid,zone,use_type,installed,material,joint,lining,diameter,d_cat,length_m
1,832f91bd-f6f5-11ec-94b5-54bf6483bcd3,74403,dist,1953,Ductile Iron,,CL,2,S,3953.115832
2,83307c1f-f6f5-11ec-81d5-54bf6483bcd3,74403,trunk,1986,Steel,,,42,L,459.6055423
3,83320548-f6f5-11ec-ba8b-54bf6483bcd3,74200,trunk,1964,Ductile Iron,,CL,71,L,23459.75255
4,83331582-f6f5-11ec-a106-54bf6483bcd3,74702,trunk,1971,Concrete,,,35,L,3320.043944
5,83369e63-f6f5-11ec-b48f-54bf6483bcd3,75516,trunk,1974,Concrete,,,43,L,247.7018585
6,833aadc7-f6f5-11ec-8994-54bf6483bcd3,74408,dist,1977,Ductile Iron,,CL,6,S,159.6198852
7,833dc2fd-f6f5-11ec-b06d-54bf6483bcd3,62648,dist,1950,Ductile Iron,,CL,12,S,993.9748602
8,833e7178-f6f5-11ec-bd82-54bf6483bcd3,75517,dist,1954,Ductile Iron,,CL,10,S,108.6842358
9,8340ae72-f6f5-11ec-b03e-54bf6483bcd3,52513,dist,1968,Cast Iron,,,6,S,263.5742156
10,83414ab4-f6f5-11ec-8def-54bf6483bcd3,75518,dist,1983,Steel,WJ,,13,M,354.8364167
11,8341bfe1-f6f5-11ec-84dd-54bf6483bcd3,62610,dist,1961,Ductile Iron,,CL,6,S,256.0022351
12,83431a40-f6f5-11ec-9fde-54bf6483bcd3,63910,dist,1957,Ductile Iron,RG,CL,14,M,126.3010915
13,8343b666-f6f5-11ec-a025-54bf6483bcd3,74003,dist,1965,Ductile Iron,RG,CL,9,S,340.9367377
14,83442b8c-f6f5-11ec-866b-54bf6483bcd3,52502,dist,1983,Steel,,CL,17,M,26.37933881
15,8344a0c0-f6f5-11ec-94b9-54bf6483bcd3,62649,dist,2002,Ductile Iron,,CL,5,S,146.069008
16,83456f54-f6f5-11ec-ab78-54bf6483bcd3,52518,trunk,1991,Steel,WJ,CL,36,L,814.7985023
17,83460b8c-f6f5-11ec-a9b0-54bf6483bcd3,75518,dist,1982,Ductile Iron,RG,CL,8,S,227.4144735
18,834680af-f6f5-11ec-b8b3-54bf6483bcd3,62610,dist,1958,Steel,,,10,S,224.0390151
19,8347473c-f6f5-11ec-b907-54bf6483bcd3,62650,dist,1977,Ductile Iron,,CL,2,S,1330.596116
20,8347df41-f6f5-11ec-a39b-54bf6483bcd3,52524,dist,1962,Ductile Iron,RG,CL,9,S,122.1115367
21,8348ef7d-f6f5-11ec-a9e8-54bf6483bcd3,74106,dist,1982,Cast Iron,CJ,CL,18,M,1425.038095
22,8349b3ff-f6f5-11ec-b85b-54bf6483bcd3,74106,dist,1967,Cast Iron,CJ,,4,S,406.8635644
23,834a503b-f6f5-11ec-8904-54bf6483bcd3,74106,dist,2000,Cast Iron,,,2,S,919.1296619
24,834ac58b-f6f5-11ec-9658-54bf6483bcd3,74106,dist,2004,Ductile Iron,,CL,7,S,1523.53791
25,834b8f00-f6f5-11ec-abe3-54bf6483bcd3,75504,dist,1990,Steel,WJ,CL,14,M,323.2069506
26,834c0430-f6f5-11ec-bbb5-54bf6483bcd3,62652,dist,1971,Ductile Iron,,CL,11,S,201.1086584
27,834cf514-f6f5-11ec-aae1-54bf6483bcd3,62614,dist,1961,Ductile Iron,,CL,8,S,984.4874454
28,834d914b-f6f5-11ec-b74f-54bf6483bcd3,75504,dist,1951,Cast Iron,,,11,S,1078.862607
29,834ec8ac-f6f5-11ec-802d-54bf6483bcd3,63009,dist,1967,Ductile Iron,,CL,3,S,967.4509525
30,834f3f06-f6f5-11ec-b968-54bf6483bcd3,74003,dist,1963,Steel,,,10,S,545.9448622
31,8350295b-f6f5-11ec-ad24-54bf6483bcd3,75606,dist,1982,Cast Iron,,CL,3,S,1180.554072
32,83509e88-f6f5-11ec-b47a-54bf6483bcd3,75518,dist,1968,Ductile Iron,,CL,5,S,1237.417496
33,83513af9-f6f5-11ec-9d8f-54bf6483bcd3,75403,dist,1959,Steel,WJ,CL,5,S,320.5292712
34,8351d72a-f6f5-11ec-923f-54bf6483bcd3,74106,dist,1988,Cast Iron,CJ,,7,S,1840.029828
35,83524c3e-f6f5-11ec-8423-54bf6483bcd3,74106,dist,1965,Ductile Iron,RG,CL,6,S,626.9623581
36,8352e88e-f6f5-11ec-a86b-54bf6483bcd3,74106,dist,1982,Copper,,,12,S,766.4910558
37,83535db1-f6f5-11ec-a200-54bf6483bcd3,74403,dist,1952,Ductile Iron,RG,CL,6,S,1737.690715
38,8353fa0e-f6f5-11ec-98e9-54bf6483bcd3,52522,dist,1991,Cast Iron,RG,CL,2,S,151.4386791
39,83546f1f-f6f5-11ec-8942-54bf6483bcd3,63007,dist,1949,Ductile Iron,,CL,13,M,134.2484716
40,8354e44b-f6f5-11ec-8b81-54bf6483bcd3,74403,dist,1980,Steel,,CL,14,M,2423.700291
41,83558095-f6f5-11ec-b20a-54bf6483bcd3,74403,dist,1996,Ductile Iron,,CL,6,S,708.0518644
42,8355f5bf-f6f5-11ec-b688-54bf6483bcd3,74403,dist,1970,Ductile Iron,,CL,4,S,681.8224033
43,835691ff-f6f5-11ec-8c52-54bf6483bcd3,74403,dist,1965,Steel,VICT,CL,2,S,1700.853755
44,83570735-f6f5-11ec-b74b-54bf6483bcd3,52523,dist,1928,Steel,,CL,1,S,160.1576296
45,8357a372-f6f5-11ec-bca2-54bf6483bcd3,63910,dist,1954,Ductile Iron,,CL,10,S,138.858283
46,835818d9-f6f5-11ec-bf84-54bf6483bcd3,75607,dist,1960,Steel,,CL,1,S,259.3736897
47,8358b4e4-f6f5-11ec-9c2c-54bf6483bcd3,74106,dist,1926,Cast Iron,CJ,CL,11,S,724.3894779
48,83592a2d-f6f5-11ec-a4bd-54bf6483bcd3,74403,dist,1971,Cast Iron,,,5,S,1271.029071
49,8359c652-f6f5-11ec-9c20-54bf6483bcd3,74403,dist,1962,Steel,WJ,,4,S,1052.4731
50,835a3b92-f6f5-11ec-a321-54bf6483bcd3,74403,dist,1971,Ductile Iron,,CL,10,S,622.0062668
51,835ad693-f6f5-11ec-a3ff-54bf6483bcd3,74403,dist,2001,Ductile Iron,,CL,5,S,273.7645971
52,835b72cf-f6f5-11ec-82ea-54bf6483bcd3,74403,dist,1985,High Density Polyethylene,,,20,M,279.9411554
53,835be804-f6f5-11ec-92a3-54bf6483bcd3,75403,dist,1987,Steel,,,23,M,2731.818203
54,835c5d35-f6f5-11ec-a13c-54bf6483bcd3,75607,dist,1944,Cast Iron,,,9,S,1989.557776
55,835cd25d-f6f5-11ec-8920-54bf6483bcd3,63007,dist,2008,Ductile Iron,RG,CL,9,S,643.9599734
56,835d6ea1-f6f5-11ec-bce3-54bf6483bcd3,74403,dist,1995,Cast Iron,CJ,,7,S,272.185848
57,835de3c9-f6f5-11ec-afe8-54bf6483bcd3,75403,dist,1976,Ductile Iron,RG,CL,4,S,322.7311251
58,835e8015-f6f5-11ec-b830-54bf6483bcd3,52513,dist,2006,Cast Iron,,CL,7,S,326.8123945
59,835ef541-f6f5-11ec-b26e-54bf6483bcd3,52524,dist,1995,Steel,,CL,21,M,1037.146894
60,835f6a73-f6f5-11ec-9b9d-54bf6483bcd3,74407,dist,1975,Cast Iron,CJ,CL,10,S,867.8187659
61,836007d8-f6f5-11ec-93ec-54bf6483bcd3,75518,dist,1996,Cast Iron,,CL,3,S,357.8864094
62,83607d0d-f6f5-11ec-b5eb-54bf6483bcd3,75506,dist,1959,Cast Iron,,,8,S,279.5310429
63,8360f236-f6f5-11ec-bc86-54bf6483bcd3,75506,dist,1949,Ductile Iron,,CL,2,S,912.4249887
64,8361663b-f6f5-11ec-b239-54bf6483bcd3,75506,dist,1988,High Density Polyethylene,,,20,M,88.54451104
65,836203a0-f6f5-11ec-b40c-54bf6483bcd3,52520,dist,1989,Ductile Iron,,CL,7,S,224.4647583
66,836278d5-f6f5-11ec-896b-54bf6483bcd3,52513,dist,1957,Cast Iron,,CL,22,M,357.59526
67,8362ee16-f6f5-11ec-9ce8-54bf6483bcd3,52520,dist,1959,Cast Iron,,,12,S,235.3065277
68,83636331-f6f5-11ec-ae03-54bf6483bcd3,62655,dist,2008,Ductile Iron,,CL,12,S,482.9335145
